"window_title","start_time","end_time","duration_seconds"
"tracker.js — Mad_Tracker","2025-04-26T19:55:52.448Z","2025-04-26T19:55:54.906Z","2.46"
"Free Online Courses for Educators | Canvas Network","2025-04-26T19:55:54.911Z","2025-04-26T19:55:56.153Z","1.24"
"asfasefadfasefawefqwefer - Google Search","2025-04-26T19:55:57.372Z","2025-04-26T19:55:58.620Z","1.25"
"wf - Google Search","2025-04-26T19:55:58.620Z","2025-04-26T19:55:59.876Z","1.26"
"awefawefaewfasf - Google Search","2025-04-26T19:56:01.126Z","2025-04-26T19:56:02.280Z","1.15"
"tracker.js — Mad_Tracker","2025-04-26T19:56:02.280Z","2025-04-26T19:56:10.372Z","8.09"
"awefawefaewfasf - Google Search","2025-04-26T19:56:15.354Z","2025-04-26T19:56:21.738Z","6.38"
"Failed to open page","2025-04-26T19:56:21.738Z","2025-04-26T19:56:24.176Z","2.44"
"tracker.js — Mad_Tracker","2025-04-26T19:56:24.176Z","2025-04-26T19:56:28.808Z","4.63"
"index.html — Mad_Tracker","2025-04-26T19:56:28.808Z","2025-04-26T19:56:34.543Z","5.74"
"tracker.js — Mad_Tracker","2025-04-26T19:56:34.543Z","2025-04-26T19:57:22.809Z","48.27"
"index.html — Mad_Tracker","2025-04-26T19:57:22.809Z","2025-04-26T19:57:23.955Z","1.15"
"package.json — Mad_Tracker","2025-04-26T19:57:23.955Z","2025-04-26T19:57:26.244Z","2.29"
"tracker.js — Mad_Tracker","2025-04-26T19:57:26.244Z","2025-04-26T19:57:50.522Z","24.28"